gene	color	name
Lbr	red	Lbr
Lmna	red	Lmna
Lmnb1	red	Lmnb1
Lmnb2	red	Lmnb2
Nup107	orange	Nup107
Nup133	orange	Nup133
Nup43	orange	Nup43
Nup50	orange	Nup50
Nup54	orange	Nup54
Nup93	orange	Nup93
Nup98	orange	Nup98
Nupl1	orange	Nupl1
Nup37	orange	Nup37
Emd	red	Emd
Tor1aip1	red	Tor1aip1
Mphosph10	darkgreen	Mphosph10
Emg1	darkgreen	Emg1
Wdr12	darkgreen	Wdr12
Utp3	darkgreen	Utp3
Ddx27	darkgreen	Ddx27
Tbl3	darkgreen	Tbl3
Rrs1	darkgreen	Rrs1
Noc2l	darkgreen	Noc2l
Nifk	darkgreen	Nifk
Rrp9	darkgreen	Rrp9
Wdr12	darkgreen	Wdr12
Phb	black	Phb1
Phb2	black	Phb2
